"cellType","ensemblID","geneSet","symbol"
"lymphocyte","ENSG00000111678","lymp1","C12orf57"
"lymphocyte","ENSG00000133935","lymp1","C14orf1"
"lymphocyte","ENSG00000154102","lymp1","C16orf74"
"lymphocyte","ENSG00000105072","lymp1","C19orf44"
"lymphocyte","ENSG00000167747","lymp1","C19orf48"
"lymphocyte","ENSG00000108561","lymp1","C1QBP"
"lymphocyte","ENSG00000242259","lymp1","C22orf39"
"lymphocyte","ENSG00000159239","lymp1","C2orf81"
"lymphocyte","ENSG00000088543","lymp1","C3orf18"
"lymphocyte","ENSG00000204387","lymp1","C6orf48"
"lymphocyte","ENSG00000122783","lymp1","C7orf49"
"lymphocyte","ENSG00000063180","lymp1","CA11"
"lymphocyte","ENSG00000239282","lymp1","CASTOR1"
"lymphocyte","ENSG00000159231","lymp1","CBR3"
"lymphocyte","ENSG00000135736","lymp1","CCDC102A"
"lymphocyte","ENSG00000173581","lymp1","CCDC106"
"lymphocyte","ENSG00000136710","lymp1","CCDC115"
"lymphocyte","ENSG00000164366","lymp1","CCDC127"
"lymphocyte","ENSG00000160050","lymp1","CCDC28B"
"lymphocyte","ENSG00000109881","lymp1","CCDC34"
"lymphocyte","ENSG00000139537","lymp1","CCDC65"
"lymphocyte","ENSG00000100814","lymp1","CCNB1IP1"
"lymphocyte","ENSG00000205089","lymp1","CCNI2"
"lymphocyte","ENSG00000126353","lymp1","CCR7"
"lymphocyte","ENSG00000163468","lymp1","CCT3"
"lymphocyte","ENSG00000177455","lymp1","CD19"
"lymphocyte","ENSG00000116824","lymp1","CD2"
"lymphocyte","ENSG00000012124","lymp1","CD22"
"lymphocyte","ENSG00000198821","lymp1","CD247"
"lymphocyte","ENSG00000139193","lymp1","CD27"
"lymphocyte","ENSG00000167286","lymp1","CD3D"
"lymphocyte","ENSG00000198851","lymp1","CD3E"
"lymphocyte","ENSG00000110448","lymp1","CD5"
"lymphocyte","ENSG00000169442","lymp1","CD52"
"lymphocyte","ENSG00000013725","lymp1","CD6"
"lymphocyte","ENSG00000173762","lymp1","CD7"
"lymphocyte","ENSG00000105369","lymp1","CD79A"
"lymphocyte","ENSG00000007312","lymp1","CD79B"
"lymphocyte","ENSG00000112149","lymp1","CD83"
"lymphocyte","ENSG00000153563","lymp1","CD8A"
"lymphocyte","ENSG00000172116","lymp1","CD8B"
"lymphocyte","ENSG00000170779","lymp1","CDCA4"
"lymphocyte","ENSG00000164649","lymp1","CDCA7L"
"lymphocyte","ENSG00000089486","lymp1","CDIP1"
"lymphocyte","ENSG00000135446","lymp1","CDK4"
"lymphocyte","ENSG00000237190","lymp1","CDKN2AIPNL"
"lymphocyte","ENSG00000205643","lymp1","CDPF1"
"lymphocyte","ENSG00000166582","lymp1","CENPV"
"lymphocyte","ENSG00000070761","lymp1","CFAP20"
"lymphocyte","ENSG00000163001","lymp1","CFAP36"
"lymphocyte","ENSG00000106554","lymp1","CHCHD3"
"lymphocyte","ENSG00000159685","lymp1","CHCHD6"
"lymphocyte","ENSG00000064886","lymp1","CHI3L2"
"lymphocyte","ENSG00000147457","lymp1","CHMP7"
"lymphocyte","ENSG00000115526","lymp1","CHST10"
"lymphocyte","ENSG00000103351","lymp1","CLUAP1"
"lymphocyte","ENSG00000125246","lymp1","CLYBL"
"lymphocyte","ENSG00000184220","lymp1","CMSS1"
"lymphocyte","ENSG00000144580","lymp1","CNOT9"
"lymphocyte","ENSG00000166997","lymp1","CNPY4"
"lymphocyte","ENSG00000142173","lymp1","COL6A2"
"lymphocyte","ENSG00000240230","lymp1","COX19"
"lymphocyte","ENSG00000130545","lymp1","CRB3"
"lymphocyte","ENSG00000143578","lymp1","CREB3L4"
"lymphocyte","ENSG00000182809","lymp1","CRIP2"
"lymphocyte","ENSG00000171793","lymp1","CTPS1"
"lymphocyte","ENSG00000174080","lymp1","CTSF"
"lymphocyte","ENSG00000172543","lymp1","CTSW"
"lymphocyte","ENSG00000174177","lymp1","CTU2"
"lymphocyte","ENSG00000112514","lymp1","CUTA"
"lymphocyte","ENSG00000186810","lymp1","CXCR3"
"lymphocyte","ENSG00000160683","lymp1","CXCR5"
"lymphocyte","ENSG00000171604","lymp1","CXXC5"
"lymphocyte","ENSG00000162144","lymp1","CYB561A3"
"lymphocyte","ENSG00000166347","lymp1","CYB5A"
"lymphocyte","ENSG00000132676","lymp1","DAP3"
"lymphocyte","ENSG00000003249","lymp1","DBNDD1"
"lymphocyte","ENSG00000105516","lymp1","DBP"
"lymphocyte","ENSG00000119599","lymp1","DCAF4"
"lymphocyte","ENSG00000172992","lymp1","DCAKD"
"lymphocyte","ENSG00000151065","lymp1","DCP1B"
"lymphocyte","ENSG00000179958","lymp1","DCTPP1"
"lymphocyte","ENSG00000167986","lymp1","DDB1"
"lymphocyte","ENSG00000182810","lymp1","DDX28"
"lymphocyte","ENSG00000125485","lymp1","DDX31"
"lymphocyte","ENSG00000162777","lymp1","DENND2D"
"lymphocyte","ENSG00000182108","lymp1","DEXI"
"lymphocyte","ENSG00000172893","lymp1","DHCR7"
"lymphocyte","ENSG00000102967","lymp1","DHODH"
"lymphocyte","ENSG00000278535","lymp1","DHRS11"
"lymphocyte","ENSG00000162496","lymp1","DHRS3"
"lymphocyte","ENSG00000144535","lymp1","DIS3L2"
"lymphocyte","ENSG00000130826","lymp1","DKC1"
"lymphocyte","ENSG00000082458","lymp1","DLG3"
"lymphocyte","ENSG00000119689","lymp1","DLST"
"lymphocyte","ENSG00000103423","lymp1","DNAJA3"
"lymphocyte","ENSG00000163687","lymp1","DNASE1L3"
"lymphocyte","ENSG00000112667","lymp1","DNPH1"
"lymphocyte","ENSG00000132768","lymp1","DPH2"
"lymphocyte","ENSG00000117543","lymp1","DPH5"
"lymphocyte","ENSG00000135144","lymp1","DTX1"
"lymphocyte","ENSG00000141994","lymp1","DUS3L"
"lymphocyte","ENSG00000276023","lymp1","DUSP14"
"lymphocyte","ENSG00000158050","lymp1","DUSP2"
"lymphocyte","ENSG00000184545","lymp1","DUSP8"
"lymphocyte","ENSG00000198721","lymp1","ECI2"
"lymphocyte","ENSG00000156508","lymp1","EEF1A1"
"lymphocyte","ENSG00000114942","lymp1","EEF1B2"
"lymphocyte","ENSG00000167658","lymp1","EEF2"
"lymphocyte","ENSG00000169242","lymp1","EFNA1"
"lymphocyte","ENSG00000111361","lymp1","EIF2B1"
"lymphocyte","ENSG00000143486","lymp1","EIF2D"
"lymphocyte","ENSG00000175390","lymp1","EIF3F"
"lymphocyte","ENSG00000141642","lymp1","ELAC1"
"lymphocyte","ENSG00000006744","lymp1","ELAC2"
"lymphocyte","ENSG00000163832","lymp1","ELP6"
"lymphocyte","ENSG00000146904","lymp1","EPHA1"
"lymphocyte","ENSG00000120915","lymp1","EPHX2"
"lymphocyte","ENSG00000177106","lymp1","EPS8L2"
"lymphocyte","ENSG00000132591","lymp1","ERAL1"
"lymphocyte","ENSG00000117419","lymp1","ERI3"
"lymphocyte","ENSG00000139641","lymp1","ESYT1"
"lymphocyte","ENSG00000130713","lymp1","EXOSC2"
"lymphocyte","ENSG00000077348","lymp1","EXOSC5"
"lymphocyte","ENSG00000075914","lymp1","EXOSC7"
"lymphocyte","ENSG00000165591","lymp1","FAAH2"
"lymphocyte","ENSG00000144199","lymp1","FAHD2B"
"lymphocyte","ENSG00000182183","lymp1","FAM159A"
"lymphocyte","ENSG00000114023","lymp1","FAM162A"
"lymphocyte","ENSG00000122378","lymp1","FAM213A"
"lymphocyte","ENSG00000157870","lymp1","FAM213B"
"lymphocyte","ENSG00000145945","lymp1","FAM50B"
"lymphocyte","ENSG00000188522","lymp1","FAM83G"
"lymphocyte","ENSG00000158169","lymp1","FANCC"
"lymphocyte","ENSG00000145982","lymp1","FARS2"
"lymphocyte","ENSG00000105202","lymp1","FBL"
"lymphocyte","ENSG00000163520","lymp1","FBLN2"
"lymphocyte","ENSG00000140092","lymp1","FBLN5"
